"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"841",841,268,1295,513,319,146,70,633,560,205,80,121
"842",842,278,1313,529,311,143,62,629,542,206,75,121
"843",843,251,1325,521,319,142,66,651,594,205,82,121
"844",844,241,1338,504,284,142,61,598,533,201,72,121
"845",845,293,1339,553,314,159,67,637,603,231,84,121
"846",846,315,1346,531,330,141,66,671,565,204,83,121
"847",847,357,1453,536,335,152,67,615,625,228,90,121
"848",848,420,1503,560,389,129,74,776,615,233,94,121
"849",849,249,1302,518,280,143,63,583,525,212,74,122
"850",850,313,1364,522,331,149,67,660,582,219,79,122
"851",851,369,1365,512,357,152,75,687,618,231,91,122
"852",852,307,1380,532,316,154,64,662,592,214,87,122
"853",853,312,1384,533,323,152,65,684,625,221,82,122
"854",854,302,1387,545,319,149,67,661,593,213,89,122
"855",855,320,1394,555,331,150,64,685,598,229,78,122
"856",856,326,1414,526,331,146,69,677,603,217,90,122
"857",857,311,1426,539,322,143,68,643,577,214,83,122
"858",858,308,1445,526,334,163,67,660,598,231,81,122
"859",859,350,1483,525,335,166,70,717,626,228,81,122
"860",860,366,1496,549,344,165,71,725,630,241,93,122
"861",861,423,1501,518,359,162,75,731,704,234,88,122
"862",862,260,1332,538,308,141,64,621,537,209,81,123
"863",863,290,1361,519,320,140,66,653,538,203,77,123
"864",864,313,1362,519,311,142,63,660,578,211,83,123
"865",865,428,1384,535,345,146,66,709,764,232,91,123
"866",866,279,1390,539,310,162,71,609,533,222,82,123
"867",867,295,1390,505,311,154,64,633,575,218,74,123
"868",868,301,1391,502,332,159,70,604,532,225,92,123
"869",869,341,1400,498,347,157,73,684,575,230,87,123
"870",870,363,1417,531,333,158,63,674,613,227,87,123
"871",871,352,1426,519,332,150,72,692,603,220,86,123
"872",872,363,1451,543,346,159,75,697,621,232,85,123
"873",873,516,1481,554,390,164,74,828,763,232,87,123
"874",874,396,1353,516,360,149,66,749,725,218,90,124
"875",875,300,1366,525,298,145,66,608,582,216,87,124
"876",876,305,1402,493,316,155,66,649,583,221,85,124
"877",877,385,1414,539,360,158,70,736,640,228,87,124
"878",878,294,1434,548,313,150,70,649,566,221,82,124
"879",879,362,1477,540,361,168,71,697,616,235,86,124
"880",880,454,1590,521,380,164,73,792,676,238,90,124
"881",881,357,1410,565,334,145,68,720,668,208,87,125
